Мобильный телефон Samsung Galaxy M31 6/128GB Blue (SM-M315FZBVSEK),7299,https://i8.rozetka.ua/goods/16893927/samsung_galaxy_m31_6_128gb_blue_images_16893927611.jpg,175401451,https://rozetka.com.ua/samsung_galaxy_m31_6_128gb_blue/p175401451/,Рейтинг товара 3.6 из 5,1205 отзывов,,"Экран (6.4"", Super AMOLED, 2340х1080) / Samsung Exynos 9611 (4 x 2.3 ГГц + 4 x 1.7 ГГц) / квадро основная камера: 64 Мп + 8 Мп + 5 Мп + 5 Мп, фронтальная 32 Мп / RAM 6 ГБ / 128 ГБ встроенной памяти + microSD (до 512 ГБ) / 3G / LTE / GPS / ГЛОНАСС / BDS / Galileo / поддержка 2х SIM-карт (Nano-SIM) / Android 10 (Q) / 6000 мА*ч"
Мобильный телефон Samsung Galaxy M21 4/64GB Green (SM-M215FZGUSEK),5299,https://i8.rozetka.ua/goods/17618407/samsung_sm_m215fzgusek_images_17618407669.jpg,200642251,https://rozetka.com.ua/samsung_sm_m215fzgusek/p200642251/,Рейтинг товара 3.6 из 5,723 отзыва,5999,"Экран (6.4"", Super AMOLED, 2340х1080) / Samsung Exynos 9611 (4 x 2.3 ГГц + 4 x 1.7 ГГц) / тройная основная камера: 48 Мп + 8 Мп + 5 Мп, фронтальная 20 Мп / RAM 4 ГБ / 64 ГБ встроенной памяти + microSD (до 512 ГБ) / 3G / LTE / GPS / поддержка 2х SIM-карт (Nano-SIM) / Android 10 (Q) / 6000 мА*ч"
Телевизор Samsung QE55Q60TAUXUA,23999,https://i2.rozetka.ua/goods/21003081/samsung_qe55q60tauxua_images_21003081186.jpg,200340133,https://rozetka.com.ua/samsung_qe55q60tauxua/p200340133/,Рейтинг товара 3.6 из 5,64 отзыва,26999,
Телевизор Samsung UE43TU7090UXUA,10499,https://i2.rozetka.ua/goods/20605181/samsung_ue43tu7090uxua_images_20605181576.jpg,257123336,https://rozetka.com.ua/samsung_ue43tu7090uxua/p257123336/,Рейтинг товара 3.6 из 5,81 отзыв,12999,
"Монитор 24"" Samsung S24R350 Dark Silver (LS24R350FHIXCI)",3299,https://i2.rozetka.ua/goods/17685152/samsung_ls24r350fhixci_images_17685152455.jpg,123242339,https://hard.rozetka.com.ua/samsung_ls24r350fhixci/p123242339/,Рейтинг товара 3.6 из 5,760 отзывов,3399,"Диагональ дисплея21.5""24""27"""
Мобильный телефон Samsung Galaxy A10s 2/32GB Blue (SM-A107FZBDSEK),3199,https://i2.rozetka.ua/goods/13195552/samsung_sm_a107fzbdsek_images_13195552674.jpg,108701226,https://rozetka.com.ua/samsung_sm_a107fzbdsek/p108701226/,Рейтинг товара 3.6 из 5,388 отзывов,3399,"Экран (6.2"", PLS, 1520x720)/ Mediatek Helio P22 (4 x 2.0 ГГц + 4 x 1.5 ГГц)/ двойная основная камера: 13 Мп + 2 Мп, фронтальная камера: 8 Мп/ RAM 2 ГБ/ 32 ГБ встроенной памяти + microSD (до 512 ГБ)/ 3G/ LTE/ GPS/ ГЛОНАСС/ BDS/ поддержка 2х SIM-карт (Nano-SIM)/ Android 9.0 (Pie)/ 4000 мА*ч"
Мобильный телефон Samsung Galaxy M51 6/128GB Black (SM-M515FZKDSEK),9999,https://i8.rozetka.ua/goods/19989680/samsung_galaxy_m51_6_128gb_black_images_19989680686.jpg,249014389,https://rozetka.com.ua/samsung_galaxy_m51_6_128gb_black/p249014389/,Рейтинг товара 3.6 из 5,237 отзывов,,"Экран (6.7"", Super AMOLED Plus, 2400х1080) / Qualcomm Snapdragon 730G (2.2 ГГц + 1.8 ГГц) / основная квадро-камера: 64 Мп + 12 Мп + 5 Мп + 5 Мп, фронтальная 32 Мп / RAM 6 ГБ / 128 ГБ встроенной памяти + microSD (до 512 ГБ) / 3G / LTE / GPS / поддержка 2х SIM-карт (Nano-SIM) / Android 10 / 7000 мА*ч"
Телевизор Samsung UE50TU7090UXUA,12499,https://i2.rozetka.ua/goods/20605184/samsung_ue50tu7090uxua_images_20605184976.jpg,257123341,https://rozetka.com.ua/samsung_ue50tu7090uxua/p257123341/,Рейтинг товара 3.6 из 5,79 отзывов,13999,
Телевизор Samsung QE50Q60TAUXUA,21499,https://i2.rozetka.ua/goods/21003076/samsung_qe50q60tauxua_images_21003076911.jpg,200338147,https://rozetka.com.ua/samsung_qe50q60tauxua/p200338147/,Рейтинг товара 3.6 из 5,66 отзывов,26999,
"Планшет Samsung Galaxy Tab A7 10.4"" LTE 32GB Grey (SM-T505NZAASEK)",6699,https://i8.rozetka.ua/goods/20008262/samsung_sm_t505nzsasek_images_20008262421.jpg,250641721,https://rozetka.com.ua/samsung_SM_T505NZAASEK/p250641721/,Рейтинг товара 3.6 из 5,53 отзыва,7499,"Экран 10.4"" (2000x1200) MultiTouch / Qualcomm Snapdragon 662 (2.0 ГГц + 1.8 ГГц) / RAM 3 ГБ / 32 ГБ встроенной памяти + microSD / 3G / 4G / Wi-Fi / Bluetooth 5.0 / основная камера 8 Мп, фронтальная - 5 Мп / GPS / ГЛОНАСС / Android 10.0 (Q) / 477 г / серый"
"Планшет Samsung Galaxy Tab A7 10.4"" Wi-Fi 32GB Silver (SM-T500NZSASEK)",5999,https://i2.rozetka.ua/goods/20008690/copy_samsung_sm_t505nzaasek_5f69c6f3e168d_images_20008690561.jpg,250662166,https://rozetka.com.ua/samsung_SM_T500NZSASEK/p250662166/,Рейтинг товара 3.6 из 5,66 отзывов,6699,"Экран 10.4"" (2000x1200) MultiTouch / Qualcomm Snapdragon 662 (2.0 ГГц + 1.8 ГГц) / RAM 3 ГБ / 32 ГБ встроенной памяти + microSD / Wi-Fi / Bluetooth 5.0 / основная камера 8 Мп, фронтальная - 5 Мп / GPS / ГЛОНАСС / Android 10.0 (Q) / 476 г / серебристый"
